account_id,account_name,tenant_id,health_score,health_segment,revenue,neediness_score,segment,account_level,industry,tad_score,tech_count,neediness_category
001Pg000009blu4IAA,proliftwesleychapel,2795027009,36,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011P00001Acoz7QAB,kitchenwiseoffrisco,975488035,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011P00000zMgUmQAK,findlayroofing_vertex,3624382741,95,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001HwSiHQAV,blingle_142,1720594197,57,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011P00001CLLZsQAP,,,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011P00001CMuC7QAL,onthelevel,1426181667,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011P00001CKSI5QAP,appleelectricinc,1073434790,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg000004oFnzIAE,groutmedicnashville,2428675304,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011P0000179zsDQAQ,temperatureprooklahomacity,893328561,84,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P000018bPu0QAE,proliftchattanooga,875355683,83,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001GI3I8QAL,,,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000W8ityAAB,veteransheatingandairllc,672740644,73,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P000019cKvfQAE,temperaturepronorthernvirginia,916497901,83,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P0000194eaRQAQ,temperatureprotulsa,892757411,77,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001GHLqHQAX,gatsby_148,1612176421,51,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011P00001B5na4QAB,proliftofgaithersburg,1043385357,82,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001CMeGWQA1,prolifthamiltoncounty,1117235619,77,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000fM76OAAS,greggsplumbing,1597802668,3,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011P00001GI3RiQAL,360paintingaldinetx,1761460310,74,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001Hwg3XQAR,gatsby_103,1706754709,88,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000WUmRKAA1,comfortsolutionsutah,644850519,93,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001E5WfEQAV,cherryroofing_vertex,2764029973,48,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011P00000wr7srQAA,shaneelmoreplumbing,493508726,93,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000WVo6wAAD,atlasplumbing,478603651,86,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIVYkQAP,ifoam_137,1956536873,58,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
